Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
30-10-2019,60.20163789,60.33445942,59.32847608,59.83269501,124522000,0,0,AAPL
31-10-2019,60.81162642,61.28633113,58.35692376,61.18548584,139162000,0,0,AAPL
01-11-2019,61.37733746,62.94903402,61.28387448,62.92198181,151125200,0,0,AAPL
04-11-2019,63.29337681,63.42128181,62.81375557,63.33519363,103272000,0,0,AAPL
05-11-2019,63.22451287,63.50491308,63.04496546,63.24419403,79897600,0,0,AAPL
06-11-2019,63.15564545,63.33273835,62.81130023,63.27124786,75864400,0,0,AAPL
07-11-2019,63.83125623,64.22844777,63.67583378,64.0014801,94940400,0.1925,0,AAPL
08-11-2019,63.81891721,64.25064284,63.36498944,64.17663574,69986400,0,0,AAPL
11-11-2019,63.72269992,64.75144373,63.71776862,64.68483734,81821200,0,0,AAPL
12-11-2019,64.52446994,64.83038348,64.36905505,64.62561798,87388800,0,0,AAPL
13-11-2019,64.42086426,65.32131904,64.40606284,65.24484253,102734400,0,0,AAPL
14-11-2019,65.06722216,65.34599478,64.66016806,64.79338837,89182800,0,0,AAPL
15-11-2019,65.04995409,65.56802639,64.88466905,65.56309509,100206400,0,0,AAPL
18-11-2019,65.57295414,65.97507694,65.18564028,65.89366913,86703200,0,0,AAPL
19-11-2019,66.09102399,66.11569553,65.47181121,65.69384003,76167200,0,0,AAPL
20-11-2019,65.50881688,65.64202966,64.24077339,64.92906952,106234400,0,0,AAPL
21-11-2019,65.05242481,65.13137074,64.43320444,64.63796997,121395200,0,0,AAPL
22-11-2019,64.78104158,64.92659388,64.34931598,64.5812149,65325200,0,0,AAPL
25-11-2019,64.81064548,65.73084047,64.76377181,65.71356964,84020400,0,0,AAPL
26-11-2019,65.8542016,65.90847599,64.75885128,65.20044708,105207600,0,0,AAPL
27-11-2019,65.51868761,66.11077458,65.45208121,66.07623291,65235600,0,0,AAPL
29-11-2019,65.77031035,66.11568931,65.59761711,65.93066406,46617600,0,0,AAPL
02-12-2019,65.93559995,66.17736901,64.99321034,65.16836548,94487200,0,0,AAPL
03-12-2019,63.72517428,64.02614904,63.22684222,64.00641632,114430400,0,0,AAPL
04-12-2019,64.40606507,64.95867147,64.30984832,64.5713501,67181600,0,0,AAPL
05-12-2019,65.07707339,65.59514552,64.81557168,65.5186615,74424400,0,0,AAPL
06-12-2019,65.98741859,66.8558012,65.9430068,66.78425598,106075600,0,0,AAPL
09-12-2019,66.60909988,66.80645716,65.3533959,65.84926605,128042400,0,0,AAPL
10-12-2019,66.26371081,66.6263606,65.58774678,66.23410797,90420400,0,0,AAPL
11-12-2019,66.31552639,66.88047235,66.23904987,66.79905701,78756800,0,0,AAPL
12-12-2019,66.06143598,67.24066365,65.9479559,66.96929169,137310400,0,0,AAPL
13-12-2019,66.96927562,67.91660407,66.83852474,67.87960052,133587600,0,0,AAPL
16-12-2019,68.33599791,69.27099436,68.33106662,69.04155731,128186000,0,0,AAPL
17-12-2019,68.97003392,69.51277029,68.78006979,69.17726135,114158400,0,0,AAPL
18-12-2019,69.02675668,69.54482893,68.85900224,69.01195526,116028400,0,0,AAPL
19-12-2019,68.95275794,69.36721278,68.81707574,69.08103943,98369200,0,0,AAPL
20-12-2019,69.62624626,69.72985619,68.72085261,68.93795013,275978000,0,0,AAPL
23-12-2019,69.20685378,70.12457945,69.16738082,70.06290436,98572000,0,0,AAPL
24-12-2019,70.23313408,70.28247717,69.7964771,70.1295166,48478800,0,0,AAPL
26-12-2019,70.26520057,71.53817537,70.23559773,71.52090454,93121200,0,0,AAPL
27-12-2019,71.81940543,72.52250294,71.07930437,71.49375916,146266000,0,0,AAPL
30-12-2019,71.40988107,72.20672591,70.363874,71.91808319,144114400,0,0,AAPL
31-12-2019,71.52583212,72.45095845,71.42468407,72.44355774,100805600,0,0,AAPL
02-01-2020,73.08250094,74.15811826,72.82346861,74.09644318,135480400,0,0,AAPL
03-01-2020,73.30700758,74.15318797,73.14665386,73.37608337,146322800,0,0,AAPL
06-01-2020,72.47810551,74.00024262,72.22153502,73.96076965,118387200,0,0,AAPL
07-01-2020,73.97064133,74.23214313,73.38843205,73.6129303,108872000,0,0,AAPL
08-01-2020,73.30947816,75.10545644,73.30947816,74.79708099,132079200,0,0,AAPL
09-01-2020,75.79621627,76.58319102,75.53965331,76.38583374,170108400,0,0,AAPL
10-01-2020,76.62513137,77.13580291,76.04538403,76.55851746,140644800,0,0,AAPL
13-01-2020,76.88170499,78.22128616,76.76081669,78.1941452,121532000,0,0,AAPL
14-01-2020,78.13000006,78.34462815,77.01244783,77.13825989,161954400,0,0,AAPL
15-01-2020,76.93352072,77.83397567,76.36610529,76.80770111,121923600,0,0,AAPL
16-01-2020,77.36276707,77.88330876,76.99271652,77.76982117,108829200,0,0,AAPL
